,title,artists,album,popularity,camelot,BPM,key,acousticness,happiness,instrumentalness,liveness,loudness,danceability,energy,yt_id
0,Ghostchild (feat. Spree Wilson),"['Firebeatz', 'Apster', 'Spree Wilson']",Ghostchild (feat. Spree Wilson),18,2A,128.0,E♭ Minor,0.0222,0.369,2.56e-05,0.0506,-5.49,0.656,0.858,25854649
1,Hero (Satellite) - Radio Edit,"['Breathe Carolina', 'Y&V']",Hero (Satellite) [Radio Edit],19,7A,128.0,D Minor,0.0464,0.204,0.376,0.325,-7.487,0.629,0.78,25218063
2,First,['1RDJ'],First,6,10B,126.0,D Major,0.00049,0.33,0.937,0.33,-4.535,0.62,0.945,24828826
3,Lovestruck - Radio Edit,"['Borgeous', 'Mike Hawkins']",Lovestruck,28,3B,128.0,C# Major,0.00156,0.164,0.784,0.407,-6.721,0.632,0.913,24828803
4,Wake Up - Radio Edit,['Jay Hardway'],Wake Up (Radio Edit),36,1A,128.0,A♭ Minor,0.0177,0.581,0.208,0.186,-5.622,0.549,0.86,24768362
5,TENGU,"['Matisse & Sadko', 'Vigel']",TENGU,17,7B,128.0,F Major,0.00716,0.377,0.936,0.35,-3.96,0.376,0.969,25515558
6,Booty Bounce - Extended Mix,"['Tujamo', 'Taio Cruz']",Booty Bounce,39,6A,128.0,G Minor,0.0235,0.793,4.26e-05,0.0823,-1.563,0.753,0.97,26293899
7,Live Your Life - Radio Edit,"['Headhunterz', 'Crystal Lake']",Live Your Life,47,11A,130.0,F# Minor,0.0057,0.304,0.00155,0.0842,-3.192,0.485,0.853,24442653
8,Zero Gravity (feat. Lights) - Radio Edit,"['Borgeous', 'Lights']",Zero Gravity (feat. Lights) [Radio Edit],35,9A,130.0,E Minor,0.0327,0.142,0.0,0.121,-6.269,0.49,0.809,24442720
9,Throw Your Hearts Up - Radio Edit,"['Juicy Trax', 'C. Todd Nielsen']",Throw Your Hearts Up (Radio Edit),15,6A,128.0,G Minor,0.00306,0.152,0.000386,0.242,-3.041,0.439,0.92,24943100
