,title,artists,album,popularity,camelot,BPM,key,acousticness,happiness,instrumentalness,liveness,loudness,danceability,energy,yt_id
0,Willing to Party,"['Gym Music', 'The Gym Allstars', 'Training Motivation Music']",Move,0,6B,120.0,B♭ Major,0.00869,0.659,0.89,0.0728,-12.599,0.712,0.556,67884983
1,Crazy Deja Vu,"['Gym Music', 'Gym Workout', 'The Gym Allstars']",Hot Fitness Mix 2017,3,9A,130.0,E Minor,0.00176,0.644,0.912,0.793,-6.38,0.494,0.995,63350863
2,Dawn,"['Gym Music', 'The Gym Allstars', 'Training Motivation Music']",Move,14,6A,120.0,G Minor,0.0551,0.856,0.917,0.0217,-10.123,0.808,0.785,67884982
3,Can't Wait To Find Me,"['Gym Music', 'Gym Workout', 'The Gym Allstars']",Hot Fitness Mix 2017,0,9B,120.0,G Major,6.15e-05,0.273,0.92,0.192,-4.503,0.453,0.935,63350843
4,Party All Night,"['Gym Music', 'Gym Workout', 'The Gym Allstars']",Hot Fitness Mix 2017,10,9B,125.0,G Major,2.69e-05,0.56,0.784,0.0925,-8.353,0.775,0.884,63350835
5,(pt 1),"['Gym Music', 'Gym Workout', 'The Gym Allstars']",10 Tracks To Fitness,0,11A,130.0,F# Minor,0.112,0.482,0.75,0.323,-9.907,0.528,0.557,36147245
6,Human Nature,"['Gym Music', 'Gym Workout', 'The Gym Allstars']",Physical Gym Music,0,12B,125.0,E Major,0.00489,0.929,0.939,0.339,-8.907,0.642,0.664,63350828
7,Narkotik Kal,['Hard Bass School'],The Album (Mixed),53,1B,150.0,B Major,0.0181,0.692,0.0,0.272,-3.154,0.843,0.99,99103565
8,Музыка для бега,['Naell'],Музыка для Фитнеса Тренировка Бег и Спорт,39,3A,115.0,B♭ Minor,0.0737,0.966,0.903,0.0934,-12.299,0.952,0.507,99103566
9,Trance Your Mind,"['Gym Music', 'The Gym Allstars', 'Training Motivation Music']",Move,2,9B,120.0,G Major,2.24e-05,0.139,0.954,0.13,-10.405,0.811,0.462,67884978
